respondent_id,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,WB_1,WB_2,WB_3,WB_4,WB_5,WB_6,WB_7,WB_8,WB_9,WB_10,WB_11,WB_12,WB_13,WB_14,WB_15,WB_16,WB_17,WB_18,WB_19,WB_20,department,gender,management_level,ethnicity,job_level,is_manager,campus,performance_rating,manager_id,manager_name,terminated,erg_participations
R0001,4,5,4,4,5,4,5,5,4,3,3,3,4,3,5,4,3,3,3,2,4,3,3,3,2,3,3,2,1,3,3,3,3,3,3,4,2,3,Product,Female,Individual Contributor,Non-Minority,Manager,0,Midwest,Exceeds,M0039,Manager 28,0,0
R0002,5,4,4,4,5,4,5,4,3,4,3,3,3,4,4,4,3,3,3,2,4,3,3,4,2,3,3,3,3,2,3,3,3,3,2,3,2,3,Operations,Male,Manager,Non-Minority,Senior Professional,1,Midwest,Meets,M0021,Manager 16,0,2
R0003,4,4,3,4,3,2,3,4,4,5,4,4,3,3,2,4,4,3,3,3,3,4,2,3,3,3,3,3,3,3,4,3,3,2,3,4,3,3,Operations,Male,Individual Contributor,Non-Minority,Director,0,West,Meets,M0025,Manager 40,0,0
R0004,5,4,5,5,4,3,4,4,3,4,3,4,3,4,3,4,5,3,3,3,4,3,2,4,4,2,3,4,4,4,3,3,3,4,3,3,4,3,Finance,Female,Individual Contributor,Minority,Senior Professional,0,Midwest,Meets,M0007,Manager 1,1,2
R0005,4,3,4,5,2,2,4,2,3,3,4,3,3,3,2,2,2,2,3,5,4,3,4,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,Product,Male,Manager,Non-Minority,VP,1,West,Meets,M0047,Manager 9,0,3
R0006,2,2,2,2,4,3,3,5,2,3,3,2,2,3,4,4,4,4,4,4,3,4,4,5,3,4,4,3,4,3,3,4,4,4,4,3,4,3,Finance,Female,Individual Contributor,Minority,Senior Manager,0,Northeast,Meets,M0034,Manager 18,0,2
R0007,3,3,3,4,4,4,4,5,4,4,3,4,3,4,4,4,4,3,2,3,4,2,3,2,4,1,3,1,1,3,3,2,2,4,2,3,2,3,Supply Chain,Male,Individual Contributor,Non-Minority,VP,0,Southeast,Meets,M0024,Manager 29,0,0
R0008,4,3,2,4,5,5,4,5,4,4,3,4,3,3,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,3,5,4,5,4,4,4,IT,Female,Individual Contributor,Minority,Director,0,West,Meets,M0033,Manager 27,0,0
R0009,3,2,1,2,3,3,3,3,3,3,4,4,3,4,2,2,3,3,5,3,5,5,4,4,5,4,4,3,4,4,5,4,4,5,5,4,5,5,Research,Female,Individual Contributor,Non-Minority,Professional,0,Northeast,Exceeds,M0041,Manager 21,1,0
R0010,5,4,5,5,3,3,3,2,4,2,4,3,4,3,4,3,2,3,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,Finance,Male,Individual Contributor,Non-Minority,Director,0,Midwest,Meets,M0003,Manager 48,0,0
R0011,4,4,4,4,5,3,5,4,2,4,3,4,4,3,4,5,4,5,3,4,4,5,4,4,4,3,5,5,4,5,4,3,4,4,4,4,4,3,Operations,Male,Manager,Minority,Director,1,West,Meets,M0015,Manager 39,0,1
R0012,4,5,4,3,3,2,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,3,4,2,2,3,2,3,3,2,2,3,3,2,3,3,3,4,Product,Female,Individual Contributor,Minority,Manager,0,Remote,Meets,M0006,Manager 23,0,1
R0013,3,3,3,3,3,4,3,3,5,5,5,5,5,4,5,5,4,5,2,3,3,4,3,2,3,2,4,4,3,4,3,3,3,3,2,3,3,4,Legal,Female,Individual Contributor,Non-Minority,Manager,0,Northeast,Exceeds,M0047,Manager 25,0,0
R0014,4,4,4,4,3,4,3,4,5,4,5,4,5,4,3,2,2,2,4,3,4,3,3,4,3,4,4,3,4,4,3,3,4,3,5,4,3,3,Engineering,Female,Individual Contributor,Minority,Senior Manager,0,Southeast,Meets,M0046,Manager 10,0,1
